시장,업종구분,종목명,종목코드,시가총액,유통비율,업종코드
Q,오락/문화,에이스토리,241840,1144 ,68,141
Q,기계/장비,에이아이코리아,364950,798 ,65,123
Q,화학,에이에스텍,453860,1123 ,47,119
Q,전기/전자,에이에프더블류,312610,264 ,46,124
Q,전기/전자,에이엘티,172670,715 ,69,124
Q,유통,에이유브랜즈,481070,3151 ,32,108
Q,전기/전자,에이직랜드,445090,3359 ,60,124
Q,금속,에이치브이엠,295310,2999 ,51,122
Q,일반서비스,에이치시티,072990,657 ,59,103
Q,전기/전자,에이치엔에스하이텍,044990,1277 ,61,124
Q,음식료/담배,에이치엘사이언스,239610,686 ,30,115
Q,전기/전자,에이치엠넥스,036170,610 ,63,124
Q,금융,에이치엠씨제6호스팩,462020,89 ,94,111
Q,금융,에이치엠씨제7호스팩,477340,151 ,93,111
Q,금속,에이치와이티씨,148930,398 ,54,122
Q,일반서비스,에이치이엠파마,376270,1511 ,63,103
Q,기계/장비,에이치케이,044780,241 ,76,123
Q,음식료/담배,에이치피오,357230,1067 ,26,115
Q,전기/전자,에이텀,355690,259 ,61,124
Q,기계/장비,에이테크솔루션,071670,623 ,66,123
Q,전기/전자,에이텍,045660,1298 ,63,124
Q,전기/전자,에이텍모빌리티,224110,636 ,64,124
Q,금융,에이티넘인베스트,021080,1310 ,62,111
Q,전기/전자,에이팩트,200470,957 ,44,124
Q,전기/전자,에이프로,262260,874 ,59,124
Q,일반서비스,에이프릴바이오,397030,3940 ,78,103
Q,전기/전자,에치에프알,230240,2333 ,66,124
Q,화학,에코글로우,159910,325 ,59,119
Q,일반서비스,에코마케팅,230360,2719 ,47,103
Q,일반서비스,에코바이오,038870,588 ,62,103
Q,운송장비/부품,에코볼트,097780,799 ,57,126
Q,일반서비스,에코아이,448280,3654 ,24,103
Q,화학,에코앤드림,101360,3797 ,83,119
Q,운송장비/부품,에코캡,128540,444 ,49,126
Q,금융,에코프로,086520,58180 ,73,111
Q,전기/전자,에코프로비엠,247540,89977 ,48,124
Q,화학,에코프로에이치엔,383310,5003 ,63,119
Q,운송장비/부품,에코플라스틱,038110,1260 ,68,126
Q,전기/전자,에프알텍,073540,227 ,63,124
Q,IT 서비스,에프앤가이드,064850,876 ,52,129
Q,전기/전자,에프에스티,036810,3893 ,67,124
Q,오락/문화,에프엔씨엔터,173940,627 ,62,141
Q,기계/장비,에프엔에스테크,083500,758 ,57,123
Q,건설,엑사이엔씨,054940,249 ,80,107
Q,,엑세스바이오,950130,2184 ,68,101
Q,제약,엑셀세라퓨틱스,373110,360 ,73,120
Q,IT 서비스,엑셈,205100,1547 ,63,129
Q,IT 서비스,엑스게이트,356680,2446 ,31,129
Q,IT 서비스,엑스큐어,070300,245 ,77,129
Q,전기/전자,엑스페릭스,317770,1264 ,86,124
Q,기타제조,엑스플러스,373200,654 ,58,127
